id;matricule;nom;prenom
1;comparer moins où;considérable antagoniste marron;vroum
2;triste;pschitt;coac coac
3;selon;incarner debout sombrer;drôlement commencer membre titulaire
4;opposer calmer brave;ouf;tard partenaire
5;triathlète hi;de façon à restaurer;snif glouglou
6;là-haut;si pff délectable;de sorte que crever pour que
7;électorat de sorte que;porte-parole avant que pour que;extrêmement du moment que
8;lectorat gestionnaire;selon au-devant;dans la mesure où
9;diététiste;en bas de;areu areu dans la mesure où lâche
10;commis;cuicui de peur que ding;athlète tandis que
